ID;ID_Company;Product;ID_Type;Inches;ScreenResolution;ID_CPU;CPU_Type;CPU_Frequency (GHz);RAM (GB);Memory;GPU_Company;GPU_Type;ID_OpSys;Weight (kg);Price (Euro)
1;2;MacBook Pro;ULT;13.3;IPS Panel Retina Display 2560x1600;INTEL;Core i5;2.3;8;128GB SSD;Intel;Iris Plus Graphics 640;1;1.37;1339.69
2;1;Aspire 3;NB;15.6;1366x768;AMD;A9-Series 9420;3.0;4;500GB HDD;AMD;Radeon R5;2;2.1;400.0
3;5;XPS 13;ULT;13.3;IPS Panel Full HD / Touchscreen 1920x1080;INTEL;Core i5 8250U;1.6;8;128GB SSD;Intel;UHD Graphics 620;2;1.22;979.0
4;5;Inspiron 5567;NB;15.6;Full HD / Touchscreen 1920x1080;INTEL;Core i7 7500U;2.7;16;1TB HDD;AMD;Radeon R7 M445;2;2.3;859.01
5;3;VivoBook Pro;NB;17.3;Full HD 1920x1080;INTEL;Core i7 8550U;1.8;8;128GB SSD + 1TB HDD;Nvidia;GeForce 150MX;2;2.1;1145.0
6;5;Inspiron 5570;NB;15.6;Full HD 1920x1080;INTEL;Core i5 8250U;1.6;8;2TB HDD;AMD;Radeon 530;2;2.02;759.0
7;4;Lapbook 15,6;NB;15.6;Full HD 1920x1080;INTEL;Atom x5-Z8350;1.44;4;64GB Flash Storage;Intel;HD Graphics;2;1.89;248.9
8;7;Thinkpad Yoga;CONV;13.3;IPS Panel Full HD / Touchscreen 1920x1080;INTEL;Core i7 7500U;2.7;8;256GB SSD;Intel;HD Graphics 620;2;1.37;1757.42
9;9;Blade Pro;GAM;14.0;Full HD 1920x1080;INTEL;Core i7 7700HQ;2.8;16;256GB SSD;Nvidia;GeForce GTX 1060;2;1.95;2599.0
10;7;IdeaPad Y700-15ISK;GAM;15.6;IPS Panel Full HD 1920x1080;INTEL;Core i7 6700HQ;2.6;8;128GB SSD + 1TB HDD;Nvidia;GeForce GTX 960;2;3.31;1196.0
11;6;Probook 450;NB;15.6;IPS Panel Full HD 1920x1080;INTEL;Core i5 7200U;2.7;8;128GB SSD + 1TB HDD;Nvidia;GeForce 930MX;2;2.04;979.0
12;6;Probook 450;NB;15.6;Full HD 1920x1080;INTEL;Core i5 7200U;2.5;8;1TB HDD;Intel;HD Graphics 620;2;2.04;806.0
13;6;EliteBook 840;ULT;14.0;Full HD 1920x1080;INTEL;Core i7 7500U;2.7;8;512GB SSD;Intel;HD Graphics 620;2;1.48;2089.0
14;3;Rog G752VL-GC088D;GAM;17.3;IPS Panel Full HD 1920x1080;INTEL;Core i7 6700HQ;2.6;16;1TB HDD;Nvidia;GeForce GTX 965M;3;4.0;998.0
15;8;GS63VR 6RF;GAM;15.6;Full HD 1920x1080;INTEL;Core i7 6700HQ;2.6;16;256GB SSD + 1TB HDD;Nvidia;GeForce GTX 1060;2;1.8;1929.0
16;6;EliteBook 820;ULT;12.5;Full HD 1920x1080;INTEL;Core i5 6200U;2.3;8;256GB SSD;Intel;HD Graphics 520;4;1.26;1199.0
17;6;EliteBook 840;NB;14.0;Full HD 1920x1080;INTEL;Core i5 6200U;2.3;4;500GB HDD;Intel;HD Graphics 520;4;1.54;1030.99
18;8;GP62M 7RDX;GAM;15.6;Full HD 1920x1080;INTEL;Core i7 7700HQ;2.8;8;128GB SSD + 1TB HDD;Nvidia;GeForce GTX 1050;2;2.4;1142.8
19;7;B51-80 (i5-6200U/8GB/1TB/Radeon;NB;15.6;Full HD 1920x1080;INTEL;Core i5 6200U;2.3;8;1TB HDD;AMD;Radeon R5 M330;3;2.32;599.0
20;8;GS40 Phantom;GAM;14.0;Full HD 1920x1080;INTEL;Core i7 6700HQ;2.6;16;256GB SSD + 1TB HDD;Nvidia;GeForce GTX 970M;2;1.7;1769.0
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
